 Item Code, CPC Code, Item
242,'0142,Groundnuts; excluding shelled
249,'01460,Coconuts; in shell
254,'01491.01,Oil palm fruit
256,'01491.02,Palm kernels
257,'2165,Palm oil
260,'01450,Olives
263,'01499.01,Karite nuts (sheanuts)
265,'01447,Castor oil seeds
267,'01445,Sunflower seed
27,'0113,Rice
270,'01443,Rape or colza seed
275,'01499.02,Tung nuts
277,'01499.03,Jojoba seeds
280,'01446,Safflower seed
289,'01444,Sesame seed
292,'01442,Mustard seed
296,'01448,Poppy seed
299,'01449.01,Melonseed
305,'01499.04,Tallowtree seeds
306,'21691.09,Vegetable tallow
307,'21691.10,Stillingia oil
310,'01499.05,Kapok fruit
328,'01921.01,Seed cotton; unginned
329,'0143,Cotton seed
333,'01441,Linseed
336,'01449.02,Hempseed
339,'01449.90,Other oil seeds; n.e.c.
358,'01212,Cabbages
366,'01216,Artichokes
367,'01211,Asparagus
372,'01214,Lettuce and chicory
373,'01215,Spinach
388,'01234,Tomatoes
393,'01213,Cauliflowers and broccoli
394,'01235,Pumpkins; squash and gourds
397,'01232,Cucumbers and gherkins
399,'01233,Eggplants (aubergines)
401,'01231,Chillies and peppers; green (Capsicum spp. and Pimenta spp.)
402,'01253.01,Onions and shallots; green
403,'01253.02,Onions and shallots; dry (excluding dehydrated)
406,'01252,Green garlic
407,'01254,Leeks and other alliaceous vegetables
414,'01241.90,Other beans; green
417,'01242,Peas; green
420,'01243,Broad beans and horse beans; green
423,'01241.01,String beans
426,'01251,Carrots and turnips
430,'01239.01,Okra
44,'0115,Barley
446,'01290.01,Green corn (maize)
449,'01270,Mushrooms and truffles
459,'01691,Chicory roots
461,'01356,Locust beans (carobs)
463,'01290.90,Other vegetables; fresh n.e.c.
484,'01312.01,Bananas cavendish
485,'01312.02,Other bananas (excluding cavendish and cooking bananas)
486,'01312,Bananas
487,'01313.01,Plantains
488,'01313.02,Cooking bananas
489,'01313,Plantains and cooking bananas
490,'01323,Oranges
495,'01324,Tangerines; mandarins; clementines
497,'01322,Lemons and limes
507,'01321,Pomelos and grapefruits
512,'01329,Other citrus fruit; n.e.c.
515,'01341,Apples
521,'01342.01,Pears
523,'01342.02,Quinces
526,'01343,Apricots
530,'01344.01,Sour cherries
531,'01344.02,Cherries
534,'01345,Peaches and nectarines
536,'01346,Plums and sloes
541,'01349.20,Other stone fruits
542,'01349.10,Other pome fruits
544,'01354,Strawberries
547,'01353.01,Raspberries
549,'01351.02,Gooseberries
550,'01351.01,Currants
552,'01355.01,Blueberries
554,'01355.02,Cranberries
558,'01355.90,Other berries and fruits of the genus vaccinium n.e.c.
56,'0112,Maize (corn)
560,'01330,Grapes
567,'01221,Watermelons
568,'01229,Cantaloupes and other melons
569,'01315,Figs
571,'01316,Mangoes; guavas and mangosteens
572,'01311,Avocados
574,'01318,Pineapples
577,'01314,Dates
587,'01359.01,Persimmons
591,'01359.02,Cashewapple
592,'01352,Kiwi fruit
600,'01317,Papayas
603,'01319,Other tropical fruits; n.e.c.
619,'01359.90,Other fruits; n.e.c.
656,'01610,Coffee; green
661,'01640,Cocoa beans
667,'01620,Tea leaves
671,'01630,Maté leaves
674,'01930.04,Tea nes (herbal tea)
677,'01659,Hop cones
687,'01651,Pepper (Piper spp.); raw
689,'01652,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw
692,'01658,Vanilla; raw
693,'01655,Cinnamon and cinnamon-tree flowers; raw
698,'01656,Cloves (whole stems); raw
702,'01653,Nutmeg; mace; cardamoms; raw
71,'0116,Rye
711,'01654,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw
720,'01657,Ginger; raw
723,'01699,Other stimulant; spice and aromatic crops; n.e.c.
748,'01930.01,Peppermint; spearmint
75,'0117,Oats
754,'01930.02,Pyrethrum; dried flowers
767,'01921.02,Cotton lint; ginned
773,'26190.01,Flax; processed but not spun
777,'01929.02,True hemp; raw or retted
780,'01922.01,Jute; raw or retted
782,'01922.02,Kenaf; and other textile bast fibres; raw or retted
788,'01929.04,Ramie; raw or retted
789,'01929.05,Sisal; raw
79,'0118,Millet
800,'01929.06,Agave fibres; raw; n.e.c.
809,'01929.07,Abaca; manila hemp; raw
821,'01929.90,Other fibre crops; raw; n.e.c.
826,'01970,Unmanufactured tobacco
83,'0114,Sorghum
836,'01950.01,Natural rubber in primary forms
839,'03211,Balata; gutta-percha; guayule; chicle and similar natural gums in primary forms or in plates; sheets or strip
867,'21111.01,Meat of cattle with the bone; fresh or chilled
882,'02211,Raw milk of cattle
89,'01192,Buckwheat
92,'01194,Quinoa
94,'01193,Fonio
945,'21111.01b,Meat of cattle with the bone; fresh or chilled (biological)
947,'21112,Meat of buffalo; fresh or chilled
951,'02212,Raw milk of buffalo
97,'01191,Triticale
973,'21112b,Meat of buffalo; fresh or chilled (biological)
977,'21115,Meat of sheep; fresh or chilled
982,'02291,Raw milk of sheep
987,'02941,Shorn wool; greasy; including fleece-washed shorn wool
